Hour,demand
20,0.849169059
21,0.835552075
22,0.789567563
23,0.726442182
24,0.676759767
1,0.626990342
2,0.601496563
3,0.58017924
4,0.574610633
5,0.581353868
6,0.610719568
7,0.662446707
8,0.698033586
9,0.722135213
10,0.748934134
11,0.768946315
12,0.772948751
13,0.776777169
14,0.78504307
15,0.789089011
16,0.795527713
17,0.797789959
18,0.777255721
19,0.753197599
20,0.742147394
21,0.740102671
22,0.694683721
23,0.642042983
24,0.609066388
1,0.569955625
2,0.549638911
3,0.533368137
4,0.525885322
5,0.526755416
6,0.536282955
7,0.551944662
8,0.590011311
9,0.632993996
10,0.652310102
11,0.663403811
12,0.667406247
13,0.657095623
14,0.659618898
15,0.658792308
16,0.672757331
17,0.691725398
18,0.695945358
19,0.692377969
20,0.690072218
21,0.687200905
22,0.657095623
23,0.616984251
24,0.580048725
1,0.552771252
2,0.534107718
3,0.518359001
4,0.511876795
5,0.508004873
6,0.506395197
7,0.518315496
8,0.553032281
9,0.598886279
10,0.632950492
11,0.672496302
12,0.702993126
13,0.726094144
14,0.750891847
15,0.776298617
16,0.810536849
17,0.848647003
18,0.845427652
19,0.818672235
20,0.800008701
21,0.792960933
22,0.752806056
23,0.692377969
24,0.635256243
1,0.602410163
2,0.571391282
3,0.555468546
4,0.550770034
5,0.57173932
6,0.600408945
7,0.650526407
8,0.701339946
9,0.754459236
10,0.795832246
11,0.830026973
12,0.852692944
13,0.874706343
14,0.903245454
15,0.906812843
16,0.907030366
17,0.905725224
18,0.890020012
19,0.894805534
20,0.884929957
21,0.866744975
22,0.819977378
23,0.751979466
24,0.694248673
1,0.652919168
2,0.624597581
3,0.602758201
4,0.594622814
5,0.603410772
6,0.631949883
7,0.685678239
8,0.739015053
9,0.777255721
10,0.824284347
11,0.845862699
12,0.867832594
13,0.884842948
14,0.888062299
15,0.902984425
16,0.898372923
17,0.885190986
18,0.835552075
19,0.805185765
20,0.783563908
21,0.761550509
22,0.715174454
23,0.66027147
24,0.608674846
1,0.577960498
2,0.554206909
3,0.538023145
4,0.541895067
5,0.552684243
6,0.572739929
7,0.619290003
8,0.648307666
9,0.66266423
10,0.683111459
11,0.698294614
12,0.713651788
13,0.722787784
14,0.735360654
15,0.741364309
16,0.765335422
17,0.792917428
18,0.799138606
19,0.789480553
20,0.759592796
21,0.737274863
22,0.694596711
23,0.635604281
24,0.582789524
1,0.553249804
2,0.534934308
3,0.524971722
4,0.521447838
5,0.533368137
6,0.563473419
7,0.603193248
8,0.635299748
9,0.65513791
10,0.6779779
11,0.70155747
12,0.723875402
13,0.744018098
14,0.752066475
15,0.759549291
16,0.775428522
17,0.790481162
18,0.791394762
19,0.769294353
20,0.74623684
21,0.739885147
22,0.699034195
23,0.645175324
24,0.597929174
1,0.566083703
2,0.545418951
3,0.532367528
4,0.529496215
5,0.538936744
6,0.565605151
7,0.610980597
8,0.644305229
9,0.668928913
10,0.692334464
11,0.716610111
12,0.735752197
13,0.757374054
14,0.764030279
15,0.766771078
16,0.793352475
17,0.817715131
18,0.822065605
19,0.81275559
20,0.78330288
21,0.75715653
22,0.716740625
23,0.658705299
24,0.608196293
1,0.571565301
2,0.544853389
3,0.528408597
4,0.51862003
5,0.521969895
6,0.521317324
7,0.545897503
8,0.586226399
9,0.622074306
10,0.653528235
11,0.685634734
12,0.694074654
13,0.699947794
14,0.697990081
15,0.70064387
16,0.711694075
17,0.725789611
18,0.722222222
19,0.713608283
20,0.700469851
21,0.713434264
22,0.683198469
23,0.640302793
24,0.600626468
1,0.574175585
2,0.554902984
3,0.535456365
4,0.533977204
5,0.538023145
6,0.533846689
7,0.560558601
8,0.604063343
9,0.644479248
10,0.690507265
11,0.731880275
12,0.756764987
13,0.775559036
14,0.785478117
15,0.791786305
16,0.818106674
17,0.851735839
18,0.862612025
19,0.855259723
20,0.822196119
21,0.797050378
22,0.755155312
23,0.700165318
24,0.644435743
1,0.595840947
2,0.576611851
3,0.556338641
4,0.550726529
5,0.562603324
6,0.591751501
7,0.641912468
8,0.697903071
9,0.750500305
10,0.790568172
11,0.824632385
12,0.853911076
13,0.868572174
14,0.882232663
15,0.882450187
16,0.890237536
17,0.905072653
18,0.902810406
19,0.897372314
20,0.879013312
21,0.852910467
22,0.798399025
23,0.728791438
24,0.667884799
1,0.621334725
2,0.58935874
3,0.564517532
4,0.562168276
5,0.575176194
6,0.60027843
7,0.641738449
8,0.688854085
9,0.729139476
10,0.744714174
11,0.756155921
12,0.759027234
13,0.767989211
14,0.775994083
15,0.782258766
16,0.799095101
17,0.823457757
18,0.82889585
19,0.817584617
20,0.794527103
21,0.7807361
22,0.734186026
23,0.674018968
24,0.627468894
1,0.589750283
2,0.558557383
3,0.545462455
4,0.545723484
5,0.555381537
6,0.583790133
7,0.626859828
8,0.664969982
9,0.692595493
10,0.716349082
11,0.739928652
12,0.764465327
13,0.780127034
14,0.794918646
15,0.807186983
16,0.823544766
17,0.843600452
18,0.842730358
19,0.819281302
20,0.785434612
21,0.76476986
22,0.712129122
23,0.648525189
24,0.600800487
1,0.576872879
2,0.56577917
3,0.547855216
4,0.538849735
5,0.558905421
6,0.591882015
7,0.649525798
8,0.691855912
9,0.719220395
10,0.741799356
11,0.741755851
12,0.756155921
13,0.782824328
14,0.783172366
15,0.790698686
16,0.806751936
17,0.823501262
18,0.818454712
19,0.809536239
20,0.780562081
21,0.76724963
22,0.724179936
23,0.663142783
24,0.612329244
1,0.574871661
2,0.552162186
3,0.53127991
4,0.52357957
5,0.534238232
6,0.56247281
7,0.609370921
8,0.643043592
9,0.640563821
10,0.653789263
11,0.65265814
12,0.651222483
13,0.65174454
14,0.65522492
15,0.650439398
16,0.668276342
17,0.68724441
18,0.692160445
19,0.695814844
20,0.680979727
21,0.670712608
22,0.632645958
23,0.588662664
24,0.546767598
1,0.5210998
2,0.49586705
3,0.487905682
4,0.48477334
5,0.485121378
6,0.492212651
7,0.504263465
8,0.524188637
9,0.549943444
10,0.567997912
11,0.58339859
12,0.5926651
13,0.596928565
14,0.603323762
15,0.61037153
16,0.618028365
17,0.643913687
18,0.651614026
19,0.642391021
20,0.633951101
21,0.631166797
22,0.608239798
23,0.568519969
24,0.533933699
1,0.520882276
2,0.506395197
3,0.496128078
4,0.493256765
5,0.49247368
6,0.486034978
7,0.50421996
8,0.530670843
9,0.55485948
10,0.583703124
11,0.596450013
12,0.599843383
13,0.597189594
14,0.601540068
15,0.603062734
16,0.61293831
17,0.625728704
18,0.639215174
19,0.630166188
20,0.618637431
21,0.61550509
22,0.590141825
23,0.554946489
24,0.527582006
1,0.510310624
2,0.483729226
3,0.472156965
4,0.481031932
5,0.478726181
6,0.47385365
7,0.497955277
8,0.523623075
9,0.541286
10,0.557078222
11,0.572652919
12,0.581440877
13,0.586182894
14,0.592186548
15,0.611502654
16,0.648960237
17,0.695423301
18,0.708866266
19,0.711433046
20,0.693596102
21,0.674889063
22,0.64165144
23,0.597320108
24,0.550987558
1,0.520751762
2,0.504916036
3,0.496302097
4,0.493691812
5,0.515400679
6,0.540894457
7,0.585486818
8,0.626468285
9,0.658357261
10,0.682980945
11,0.702253546
12,0.719698947
13,0.731140694
14,0.745758288
15,0.75715653
16,0.784782041
17,0.819281302
18,0.821587053
19,0.810754372
20,0.788001392
21,0.762507613
22,0.717480205
23,0.65183155
24,0.616070652
1,0.580744801
2,0.55816584
3,0.544200818
4,0.541416514
5,0.554598451
6,0.579396154
7,0.620116593
8,0.659009832
9,0.689593666
10,0.72000348
11,0.749847733
12,0.77486296
13,0.794962151
14,0.81118942
15,0.815757418
16,0.845384147
17,0.885190986
18,0.881710606
19,0.860654311
20,0.829374402
21,0.809144697
22,0.750848342
23,0.690072218
24,0.632471939
1,0.594318281
2,0.567562864
3,0.553641347
4,0.552901766
5,0.562516314
6,0.585443313
7,0.626729313
8,0.676629253
9,0.713651788
10,0.7504568
11,0.784172975
12,0.812799095
13,0.825676499
14,0.837205255
15,0.854433133
16,0.882928739
17,0.906899852
18,0.905899243
19,0.888236318
20,0.858479074
21,0.832245715
22,0.777647264
23,0.711128513
24,0.652832159
1,0.614243453
2,0.587009484
3,0.567867398
4,0.565126599
5,0.568780997
6,0.59871226
7,0.644000696
8,0.69385713
9,0.739406595
10,0.779474463
11,0.808361611
12,0.832898286
13,0.854172105
14,0.86256852
15,0.86852867
16,0.876707561
17,0.892543287
18,0.893065344
19,0.879404855
20,0.862612025
21,0.837596798
22,0.786391717
23,0.721265118
24,0.666318629
1,0.625467676
2,0.601627077
3,0.586356913
4,0.576829374
5,0.574001566
6,0.578178021
7,0.610415035
8,0.654180806
9,0.694727225
10,0.721178108
11,0.762116071
12,0.806751936
13,0.826981641
14,0.8229357
15,0.797441921
16,0.802401462
17,0.815278865
18,0.818280693
19,0.806360393
20,0.783955451
21,0.77568955
22,0.741146785
23,0.688941095
24,0.650221874
1,0.607195684
2,0.580353259
3,0.566127208
4,0.550596015
5,0.548246759
6,0.550596015
7,0.566953798
8,0.608413817
